sensingNoise,inflowRate,intelligenceCost,nPairs,costScale,costStart_i,costEnd_i,costStep_i,dMean_survivedTicks,sd_dSurv,ciLo_dSurv,ciHi_dSurv,dMean_sigmaProxyCumEnd,sd_dSigmaProxyCum,ciLo_dSigmaProxyCumEnd,ciHi_dSigmaProxyCumEnd,dMean_sigmaProxyDiffCumEnd,sd_dSigmaProxyDiffCum,ciLo_dSigmaProxyDiffCumEnd,ciHi_dSigmaProxyDiffCumEnd,dMean_sigmaProxyActCumEnd,sd_dSigmaProxyActCum,ciLo_dSigmaProxyActCumEnd,ciHi_dSigmaProxyActCumEnd,dMean_outflowNumCum,sd_dOutflowNumCum,ciLo_dOutflowNumCum,ciHi_dOutflowNumCum,dMean_totalUptakeCum,sd_dUptakeCum,ciLo_dUptakeCum,ciHi_dUptakeCum,dMean_efficiencyEnd,sd_dEffEnd,ciLo_dEffEnd,ciHi_dEffEnd,dMean_birthsCum,sd_dBirthsCum,ciLo_dBirthsCum,ciHi_dBirthsCum,dMean_deathsCum,sd_dDeathsCum,ciLo_dDeathsCum,ciHi_dDeathsCum,dMean_netCum,sd_dNetCum,ciLo_dNetCum,ciHi_dNetCum,dMean_births_window,sd_dBirthsW,ciLo_dBirthsW,ciHi_dBirthsW,dMean_deaths_window,sd_dDeathsW,ciLo_dDeathsW,ciHi_dDeathsW,dMean_net_window,sd_dNetW,ciLo_dNetW,ciHi_dNetW,rmst_random_tau,rmst_informed_tau,dRmst,ciLo_dRmst,ciHi_dRmst,hedgesG_survival_ref,logrank_z,logrank_pApprox
0,0,0.200000,50,1000,200,201,1,-251.000000,0.000000,-251.000000,-251.000000,-0.200000,0.000000,-0.200000,-0.200000,0.000000,0.000000,0.000000,0.000000,-0.200000,0.000000,-0.200000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1500.000000,1249.000000,-251.000000,-251.000000,-251.000000,0.000000,9.949874,0.000000000000
0,0,0.201000,50,1000,200,201,1,-252.000000,0.000000,-252.000000,-252.000000,-0.190200,0.000000,-0.190200,-0.190200,0.000000,0.000000,0.000000,0.000000,-0.190200,0.000000,-0.190200,-0.190200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1500.000000,1248.000000,-252.000000,-252.000000,-252.000000,0.000000,9.949874,0.000000000000
0,0.005,0.200000,50,1000,200,201,1,-256.600000,8.141604,-258.620000,-254.300000,-0.103044,0.149844,-0.142563,-0.060021,-0.004419,0.005780,-0.006010,-0.002940,-0.098625,0.153945,-0.139536,-0.054508,0.000000,0.000000,0.000000,0.000000,-0.051315,0.161966,-0.093237,-0.004982,-0.000171,0.000538,-0.000310,-0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1508.540000,1251.940000,-256.600000,-258.820000,-254.220000,-42.359125,11.137942,0.000000000000
0,0.005,0.201000,50,1000,200,201,1,-257.600000,8.141604,-259.620000,-255.300000,-0.102789,0.150834,-0.142291,-0.060118,-0.004436,0.005776,-0.006027,-0.002959,-0.098352,0.154923,-0.139037,-0.054906,0.000000,0.000000,0.000000,0.000000,-0.051693,0.161925,-0.093618,-0.005360,-0.000172,0.000538,-0.000311,-0.000018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1508.540000,1250.940000,-257.600000,-259.820000,-255.220000,-42.524203,11.137942,0.000000000000
0,0.01,0.200000,50,1000,200,201,1,-259.040000,17.085571,-263.300000,-254.180000,-0.009413,0.302565,-0.088792,0.074791,-0.022109,0.024109,-0.028719,-0.015627,0.012696,0.319618,-0.071261,0.100783,0.000000,0.000000,0.000000,0.000000,0.037063,0.327941,-0.047611,0.129637,0.000123,0.001087,-0.000158,0.000430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1517.520000,1258.480000,-259.040000,-263.800000,-254.000000,-20.378422,11.125289,0.000000000000
0,0.01,0.201000,50,1000,200,201,1,-260.100000,17.024892,-264.340000,-255.300000,-0.006594,0.303143,-0.085853,0.077184,-0.022158,0.024094,-0.028754,-0.015682,0.015564,0.320175,-0.068369,0.104820,0.000000,0.000000,0.000000,0.000000,0.036009,0.327828,-0.048736,0.128535,0.000119,0.001087,-0.000161,0.000427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1517.520000,1257.420000,-260.100000,-264.860000,-255.080000,-20.512058,11.123000,0.000000000000
0,0.015,0.200000,50,1000,200,201,1,-255.640000,25.648137,-262.460000,-248.600000,0.194553,0.437292,0.075555,0.314724,-0.071312,0.052763,-0.085851,-0.056777,0.265865,0.476287,0.136850,0.398490,0.000000,0.000000,0.000000,0.000000,0.288289,0.479291,0.159860,0.423090,0.000954,0.001585,0.000529,0.001399,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1526.740000,1271.100000,-255.640000,-263.080000,-248.020000,-13.154404,11.020532,0.000000000000
0,0.015,0.201000,50,1000,200,201,1,-256.780000,25.642988,-263.620000,-249.760000,0.191220,0.435477,0.074401,0.312673,-0.071377,0.052724,-0.085908,-0.056846,0.262598,0.474418,0.135823,0.394879,0.000000,0.000000,0.000000,0.000000,0.286254,0.479354,0.157935,0.421042,0.000947,0.001585,0.000523,0.001392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1526.740000,1269.960000,-256.780000,-264.220000,-249.140000,-13.217159,11.013695,0.000000000000
0,0.02,0.200000,50,1000,200,201,1,-247.760000,34.680207,-256.940000,-238.120000,0.432805,0.533819,0.285541,0.578236,-0.161938,0.091703,-0.187091,-0.136545,0.594744,0.603374,0.428110,0.760649,0.000000,0.000000,0.000000,0.000000,0.604275,0.602165,0.439876,0.769107,0.001993,0.001985,0.001451,0.002537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1535.940000,1288.180000,-247.760000,-257.900000,-237.620000,-9.609487,10.988846,0.000000000000
0,0.02,0.201000,50,1000,200,201,1,-249.000000,34.650441,-258.180000,-239.360000,0.428808,0.535752,0.280008,0.575074,-0.162003,0.091641,-0.187147,-0.136624,0.590811,0.605219,0.424313,0.758108,0.000000,0.000000,0.000000,0.000000,0.601435,0.602252,0.437012,0.766417,0.001984,0.001985,0.001442,0.002528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1535.940000,1286.940000,-249.000000,-259.080000,-238.960000,-9.677708,10.966697,0.000000000000
0,0.025,0.200000,50,1000,200,201,1,-237.160000,42.488106,-248.440000,-225.400000,0.610040,0.623559,0.435425,0.780497,-0.295512,0.138955,-0.332726,-0.256937,0.905553,0.725132,0.703043,1.103797,0.000000,0.000000,0.000000,0.000000,0.919214,0.725925,0.716009,1.115225,0.003023,0.002386,0.002355,0.003669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1545.260000,1308.100000,-237.160000,-249.460000,-225.000000,-7.522055,10.991763,0.000000000000
0,0.025,0.201000,50,1000,200,201,1,-238.500000,42.492857,-249.700000,-226.820000,0.604618,0.621944,0.430926,0.776809,-0.295604,0.138874,-0.332789,-0.257054,0.900222,0.723283,0.697738,1.097002,0.000000,0.000000,0.000000,0.000000,0.915622,0.725840,0.712443,1.111457,0.003011,0.002386,0.002343,0.003657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1545.260000,1306.760000,-238.500000,-250.760000,-226.280000,-7.573379,10.986544,0.000000000000
0,0.03,0.200000,50,1000,200,201,1,-225.740000,52.247765,-239.740000,-211.460000,0.776171,0.755859,0.563026,0.976943,-0.473937,0.196956,-0.526931,-0.419505,1.250109,0.893960,0.995479,1.488629,0.000000,0.000000,0.000000,0.000000,1.262341,0.897638,1.009126,1.502452,0.004138,0.002942,0.003306,0.004926,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1555.260000,1329.520000,-225.740000,-240.520000,-211.140000,-5.990925,10.992394,0.000000000000
