runId,mode,seed,inflowRate,intelligenceCost,sensingNoise,maxAgents,lookDist,burnIn,measureTicks,maxTicks,tailTicks,survivedTicks,event,max_agentCount,sigmaProxyCumEnd,sigmaProxyDiffCumEnd,sigmaProxyActCumEnd,outflowPhysCum,outflowNumCum,outflowActCum,actHeatMaintCum,actHeatInfoCum,actHeatDivCum,totalUptakeCum,infoCostCum,maintenanceCostCum,divisionCostCum,efficiencyEnd,birthsCum,deathsCum,netCum,meanAbsEnergyResidual,measuredTicks,mean_agentCount_window,mean_sigmaProxyTotal_window,mean_uptake_window,mean_infoCost_window,mean_maintenance_window,mean_divisionCost_window,mean_efficiency_window,mean_births_window,mean_deaths_window,mean_net_window,tailTicksUsed,mean_uptake_tail,mean_infoCost_tail,mean_maintenance_tail,mean_divisionCost_tail,mean_efficiency_tail,mean_births_tail,mean_deaths_tail,mean_net_tail
1,random,1000,0.006,0.200000,0,1000,3,100,300,3000,30,1513,1,10,300.496357,0.036357,300.460000,0.000000,0.000000,300.460000,300.460000,0.000000,0.000000,0.338321,0.000000,300.460000,0.000000,0.001126,0.000000,10.000000,-10.000000,0.000080371920,300,10.000000,0.200019,0.000022,0.000000,0.200000,0.000000,0.000111,0.000000,0.000000,0.000000,30,0.000193,0.000000,0.122000,0.000000,0.002910,0.000000,0.333333,-0.333333
2,informed,1000,0.006,0.200000,0,1000,3,100,300,3000,30,1249,1,10,300.292309,0.029752,300.262557,0.000000,0.000000,300.262557,249.120000,51.142557,0.000000,0.169722,51.142557,249.120000,0.000000,0.000565,0.000000,10.000000,-10.000000,0.000074271404,300,10.000000,0.240295,0.000012,0.040276,0.200000,0.000000,0.000050,0.000000,0.000000,0.000000,30,0.000222,0.035370,0.170667,0.000000,0.000979,0.000000,0.333333,-0.333333
3,random,1001,0.006,0.200000,0,1000,3,100,300,3000,30,1509,1,10,300.590906,0.030906,300.560000,0.000000,0.000000,300.560000,300.560000,0.000000,0.000000,0.420318,0.000000,300.560000,0.000000,0.001398,0.000000,10.000000,-10.000000,0.000092506612,300,10.000000,0.200012,0.000346,0.000000,0.200000,0.000000,0.001731,0.000000,0.000000,0.000000,30,0.000152,0.000000,0.152000,0.000000,0.001233,0.000000,0.333333,-0.333333
4,informed,1001,0.006,0.200000,0,1000,3,100,300,3000,30,1253,1,10,300.606464,0.024773,300.581691,0.000000,0.000000,300.581691,250.080000,50.501691,0.000000,0.505562,50.501691,250.080000,0.000000,0.001682,0.000000,10.000000,-10.000000,0.000060711396,300,10.000000,0.240175,0.000359,0.040156,0.200000,0.000000,0.001496,0.000000,0.000000,0.000000,30,0.000477,0.035841,0.176000,0.000000,0.002992,0.000000,0.333333,-0.333333
5,random,1002,0.006,0.200000,0,1000,3,100,300,3000,30,1506,1,10,300.554307,0.034307,300.520000,0.000000,0.000000,300.520000,300.520000,0.000000,0.000000,0.390837,0.000000,300.520000,0.000000,0.001301,0.000000,10.000000,-10.000000,0.000085711094,300,10.000000,0.200019,0.000274,0.000000,0.200000,0.000000,0.001369,0.000000,0.000000,0.000000,30,0.000147,0.000000,0.170667,0.000000,0.000798,0.000000,0.333333,-0.333333
6,informed,1002,0.006,0.200000,0,1000,3,100,300,3000,30,1254,1,10,300.622735,0.025203,300.597532,0.000000,0.000000,300.597532,250.020000,50.577532,0.000000,0.531391,50.577532,250.020000,0.000000,0.001768,0.000000,10.000000,-10.000000,0.000052704394,300,10.000000,0.240227,0.000338,0.040208,0.200000,0.000000,0.001407,0.000000,0.000000,0.000000,30,0.000494,0.034042,0.167333,0.000000,0.003330,0.000000,0.333333,-0.333333
7,random,1003,0.006,0.200000,0,1000,3,100,300,3000,30,1501,1,10,300.256791,0.036791,300.220000,0.000000,0.000000,300.220000,300.220000,0.000000,0.000000,0.106211,0.000000,300.220000,0.000000,0.000354,0.000000,10.000000,-10.000000,0.000075761749,300,10.000000,0.200019,0.000007,0.000000,0.200000,0.000000,0.000037,0.000000,0.000000,0.000000,30,0.000271,0.000000,0.194000,0.000000,0.001476,0.000000,0.333333,-0.333333
8,informed,1003,0.006,0.200000,0,1000,3,100,300,3000,30,1249,1,10,300.208151,0.029132,300.179018,0.000000,0.000000,300.179018,249.600000,50.579018,0.000000,0.057229,50.579018,249.600000,0.000000,0.000191,0.000000,10.000000,-10.000000,0.000097434469,300,10.000000,0.240105,0.000002,0.040086,0.200000,0.000000,0.000008,0.000000,0.000000,0.000000,30,0.000111,0.038474,0.186667,0.000000,0.000472,0.000000,0.333333,-0.333333
9,random,1004,0.006,0.200000,0,1000,3,100,300,3000,30,1510,1,10,300.506971,0.026971,300.480000,0.000000,0.000000,300.480000,300.480000,0.000000,0.000000,0.338077,0.000000,300.480000,0.000000,0.001125,0.000000,10.000000,-10.000000,0.000093928569,300,10.000000,0.200008,0.000502,0.000000,0.200000,0.000000,0.002512,0.000000,0.000000,0.000000,30,0.000034,0.000000,0.142667,0.000000,0.000277,0.000000,0.333333,-0.333333
10,informed,1004,0.006,0.200000,0,1000,3,100,300,3000,30,1253,1,10,300.525920,0.027038,300.498883,0.000000,0.000000,300.498883,249.820000,50.678883,0.000000,0.386775,50.678883,249.820000,0.000000,0.001287,0.000000,10.000000,-10.000000,0.000089402592,300,10.000000,0.240282,0.000253,0.040262,0.200000,0.000000,0.001054,0.000000,0.000000,0.000000,30,0.000372,0.034263,0.167333,0.000000,0.002889,0.000000,0.333333,-0.333333
