sensingNoise,inflowRate,intelligenceCost,nPairs,costScale,costStart_i,costEnd_i,costStep_i,dMean_survivedTicks,sd_dSurv,ciLo_dSurv,ciHi_dSurv,dMean_sigmaProxyCumEnd,sd_dSigmaProxyCum,ciLo_dSigmaProxyCumEnd,ciHi_dSigmaProxyCumEnd,dMean_sigmaProxyDiffCumEnd,sd_dSigmaProxyDiffCum,ciLo_dSigmaProxyDiffCumEnd,ciHi_dSigmaProxyDiffCumEnd,dMean_sigmaProxyActCumEnd,sd_dSigmaProxyActCum,ciLo_dSigmaProxyActCumEnd,ciHi_dSigmaProxyActCumEnd,dMean_outflowNumCum,sd_dOutflowNumCum,ciLo_dOutflowNumCum,ciHi_dOutflowNumCum,dMean_totalUptakeCum,sd_dUptakeCum,ciLo_dUptakeCum,ciHi_dUptakeCum,dMean_efficiencyEnd,sd_dEffEnd,ciLo_dEffEnd,ciHi_dEffEnd,dMean_birthsCum,sd_dBirthsCum,ciLo_dBirthsCum,ciHi_dBirthsCum,dMean_deathsCum,sd_dDeathsCum,ciLo_dDeathsCum,ciHi_dDeathsCum,dMean_netCum,sd_dNetCum,ciLo_dNetCum,ciHi_dNetCum,dMean_births_window,sd_dBirthsW,ciLo_dBirthsW,ciHi_dBirthsW,dMean_deaths_window,sd_dDeathsW,ciLo_dDeathsW,ciHi_dDeathsW,dMean_net_window,sd_dNetW,ciLo_dNetW,ciHi_dNetW,rmst_random_tau,rmst_informed_tau,dRmst,ciLo_dRmst,ciHi_dRmst,hedgesG_survival_ref,logrank_z,logrank_pApprox
0,0.006,0.200000,50,1000,200,201,1,-257.640000,9.793292,-260.040000,-254.900000,-0.100867,0.182339,-0.147795,-0.050732,-0.006552,0.008416,-0.008831,-0.004387,-0.094315,0.188190,-0.143377,-0.042911,0.000000,0.000000,0.000000,0.000000,-0.048812,0.192805,-0.098654,0.006428,-0.000162,0.000641,-0.000328,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1510.300000,1252.660000,-257.640000,-260.340000,-254.780000,-35.268703,11.121235,0.000000000000
0,0.006,0.201000,50,1000,200,201,1,-258.660000,9.780468,-261.040000,-255.920000,-0.095352,0.180251,-0.142003,-0.045485,-0.006578,0.008409,-0.008854,-0.004414,-0.088774,0.186165,-0.137253,-0.037016,0.000000,0.000000,0.000000,0.000000,-0.049281,0.192741,-0.099098,0.005920,-0.000164,0.000640,-0.000329,0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1510.300000,1251.640000,-258.660000,-261.360000,-255.800000,-35.386693,11.127196,0.000000000000
0,0.0062,0.200000,50,1000,200,201,1,-257.720000,10.119773,-260.200000,-254.880000,-0.094370,0.190139,-0.143495,-0.041940,-0.007031,0.009001,-0.009476,-0.004711,-0.087339,0.196372,-0.138006,-0.033708,0.000000,0.000000,0.000000,0.000000,-0.048402,0.198903,-0.099765,0.008722,-0.000161,0.000661,-0.000331,0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1510.560000,1252.840000,-257.720000,-260.500000,-254.780000,-34.091161,11.144300,0.000000000000
0,0.0062,0.201000,50,1000,200,201,1,-258.720000,10.119773,-261.200000,-255.880000,-0.098442,0.189964,-0.148664,-0.045870,-0.007058,0.008994,-0.009498,-0.004740,-0.091384,0.196209,-0.143163,-0.036753,0.000000,0.000000,0.000000,0.000000,-0.048881,0.198854,-0.100256,0.008214,-0.000162,0.000661,-0.000333,0.000027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1510.560000,1251.840000,-258.720000,-261.500000,-255.780000,-34.223441,11.144300,0.000000000000
0,0.0064,0.200000,50,1000,200,201,1,-257.900000,10.430039,-260.480000,-254.960000,-0.096137,0.196130,-0.147680,-0.042323,-0.007532,0.009604,-0.010155,-0.005049,-0.088605,0.202819,-0.141949,-0.032839,0.000000,0.000000,0.000000,0.000000,-0.047380,0.205201,-0.100545,0.011361,-0.000157,0.000682,-0.000334,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1510.920000,1253.020000,-257.900000,-260.740000,-254.840000,-33.003778,11.157707,0.000000000000
0,0.0064,0.201000,50,1000,200,201,1,-258.980000,10.455913,-261.560000,-256.060000,-0.095772,0.190465,-0.145168,-0.043299,-0.007563,0.009596,-0.010182,-0.005083,-0.088209,0.197226,-0.139320,-0.033873,0.000000,0.000000,0.000000,0.000000,-0.047915,0.205142,-0.101025,0.010830,-0.000159,0.000682,-0.000336,0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1510.920000,1251.940000,-258.980000,-261.840000,-255.900000,-33.142437,11.144300,0.000000000000
0,0.0066,0.200000,50,1000,200,201,1,-258.020000,10.814748,-260.680000,-254.980000,-0.093730,0.201343,-0.145447,-0.037714,-0.008050,0.010233,-0.010849,-0.005404,-0.085680,0.208412,-0.138926,-0.028151,0.000000,0.000000,0.000000,0.000000,-0.043411,0.212913,-0.098332,0.016497,-0.000144,0.000707,-0.000327,0.000055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1511.260000,1253.240000,-258.020000,-260.940000,-254.900000,-31.967497,11.157341,0.000000000000
0,0.0066,0.201000,50,1000,200,201,1,-259.120000,10.775331,-261.780000,-256.120000,-0.091852,0.196258,-0.142399,-0.037680,-0.008082,0.010225,-0.010879,-0.005437,-0.083770,0.203477,-0.136961,-0.027320,0.000000,0.000000,0.000000,0.000000,-0.044888,0.211589,-0.099807,0.014776,-0.000149,0.000703,-0.000332,0.000049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1511.260000,1252.140000,-259.120000,-262.080000,-255.980000,-32.121925,11.161022,0.000000000000
0,0.0068000000000000005,0.200000,50,1000,200,201,1,-258.260000,11.200966,-261.020000,-255.120000,-0.091681,0.207641,-0.145211,-0.033865,-0.008604,0.010880,-0.011601,-0.005793,-0.083077,0.215252,-0.138317,-0.023462,0.000000,0.000000,0.000000,0.000000,-0.041294,0.219842,-0.097871,0.020053,-0.000137,0.000730,-0.000325,0.000067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1511.680000,1253.420000,-258.260000,-261.320000,-255.020000,-30.964558,11.166459,0.000000000000
0,0.0068000000000000005,0.201000,50,1000,200,201,1,-259.340000,11.182366,-262.080000,-256.200000,-0.089249,0.206625,-0.142660,-0.031129,-0.008637,0.010870,-0.011628,-0.005827,-0.080612,0.214298,-0.135860,-0.020707,0.000000,0.000000,0.000000,0.000000,-0.041882,0.219726,-0.098391,0.019403,-0.000139,0.000730,-0.000327,0.000065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1511.680000,1252.340000,-259.340000,-262.380000,-256.100000,-31.217429,11.162713,0.000000000000
