time,event,group,inflowRate,intelligenceCost,sensingNoise,seed,maxAgents,lookDist
1698,1,0,0.08,0.200000,0,1000,1000,3
1533,1,1,0.08,0.200000,0,1000,1000,3
1628,1,0,0.08,0.200000,0,1001,1000,3
1667,1,1,0.08,0.200000,0,1001,1000,3
1585,1,0,0.08,0.200000,0,1002,1000,3
1696,1,1,0.08,0.200000,0,1002,1000,3
1520,1,0,0.08,0.200000,0,1003,1000,3
1651,1,1,0.08,0.200000,0,1003,1000,3
1640,1,0,0.08,0.200000,0,1004,1000,3
1594,1,1,0.08,0.200000,0,1004,1000,3
1687,1,0,0.08,0.200000,0,1005,1000,3
1852,1,1,0.08,0.200000,0,1005,1000,3
1705,1,0,0.08,0.200000,0,1006,1000,3
1638,1,1,0.08,0.200000,0,1006,1000,3
1575,1,0,0.08,0.200000,0,1007,1000,3
1422,1,1,0.08,0.200000,0,1007,1000,3
1846,1,0,0.08,0.200000,0,1008,1000,3
1708,1,1,0.08,0.200000,0,1008,1000,3
1665,1,0,0.08,0.200000,0,1009,1000,3
1397,1,1,0.08,0.200000,0,1009,1000,3
1593,1,0,0.08,0.200000,0,1010,1000,3
1751,1,1,0.08,0.200000,0,1010,1000,3
1526,1,0,0.08,0.200000,0,1011,1000,3
1714,1,1,0.08,0.200000,0,1011,1000,3
1636,1,0,0.08,0.200000,0,1012,1000,3
1470,1,1,0.08,0.200000,0,1012,1000,3
1626,1,0,0.08,0.200000,0,1013,1000,3
1717,1,1,0.08,0.200000,0,1013,1000,3
1723,1,0,0.08,0.200000,0,1014,1000,3
1591,1,1,0.08,0.200000,0,1014,1000,3
1600,1,0,0.08,0.200000,0,1015,1000,3
1653,1,1,0.08,0.200000,0,1015,1000,3
1600,1,0,0.08,0.200000,0,1016,1000,3
1732,1,1,0.08,0.200000,0,1016,1000,3
1637,1,0,0.08,0.200000,0,1017,1000,3
1505,1,1,0.08,0.200000,0,1017,1000,3
1891,1,0,0.08,0.200000,0,1018,1000,3
1347,1,1,0.08,0.200000,0,1018,1000,3
1584,1,0,0.08,0.200000,0,1019,1000,3
1745,1,1,0.08,0.200000,0,1019,1000,3
1676,1,0,0.08,0.200000,0,1020,1000,3
1735,1,1,0.08,0.200000,0,1020,1000,3
1627,1,0,0.08,0.200000,0,1021,1000,3
1552,1,1,0.08,0.200000,0,1021,1000,3
1884,1,0,0.08,0.200000,0,1022,1000,3
1546,1,1,0.08,0.200000,0,1022,1000,3
1552,1,0,0.08,0.200000,0,1023,1000,3
1736,1,1,0.08,0.200000,0,1023,1000,3
1696,1,0,0.08,0.200000,0,1024,1000,3
1749,1,1,0.08,0.200000,0,1024,1000,3
1824,1,0,0.08,0.200000,0,1025,1000,3
1465,1,1,0.08,0.200000,0,1025,1000,3
1820,1,0,0.08,0.200000,0,1026,1000,3
1501,1,1,0.08,0.200000,0,1026,1000,3
1825,1,0,0.08,0.200000,0,1027,1000,3
1579,1,1,0.08,0.200000,0,1027,1000,3
1561,1,0,0.08,0.200000,0,1028,1000,3
1444,1,1,0.08,0.200000,0,1028,1000,3
1590,1,0,0.08,0.200000,0,1029,1000,3
1528,1,1,0.08,0.200000,0,1029,1000,3
1603,1,0,0.08,0.200000,0,1030,1000,3
1451,1,1,0.08,0.200000,0,1030,1000,3
1708,1,0,0.08,0.200000,0,1031,1000,3
1864,1,1,0.08,0.200000,0,1031,1000,3
1601,1,0,0.08,0.200000,0,1032,1000,3
1451,1,1,0.08,0.200000,0,1032,1000,3
1650,1,0,0.08,0.200000,0,1033,1000,3
1555,1,1,0.08,0.200000,0,1033,1000,3
1788,1,0,0.08,0.200000,0,1034,1000,3
1440,1,1,0.08,0.200000,0,1034,1000,3
1810,1,0,0.08,0.200000,0,1035,1000,3
1528,1,1,0.08,0.200000,0,1035,1000,3
1667,1,0,0.08,0.200000,0,1036,1000,3
1737,1,1,0.08,0.200000,0,1036,1000,3
1634,1,0,0.08,0.200000,0,1037,1000,3
1739,1,1,0.08,0.200000,0,1037,1000,3
1667,1,0,0.08,0.200000,0,1038,1000,3
1498,1,1,0.08,0.200000,0,1038,1000,3
1651,1,0,0.08,0.200000,0,1039,1000,3
1858,1,1,0.08,0.200000,0,1039,1000,3
1607,1,0,0.08,0.200000,0,1040,1000,3
1707,1,1,0.08,0.200000,0,1040,1000,3
1548,1,0,0.08,0.200000,0,1041,1000,3
1570,1,1,0.08,0.200000,0,1041,1000,3
1952,1,0,0.08,0.200000,0,1042,1000,3
1724,1,1,0.08,0.200000,0,1042,1000,3
1585,1,0,0.08,0.200000,0,1043,1000,3
1552,1,1,0.08,0.200000,0,1043,1000,3
1782,1,0,0.08,0.200000,0,1044,1000,3
1632,1,1,0.08,0.200000,0,1044,1000,3
1625,1,0,0.08,0.200000,0,1045,1000,3
1500,1,1,0.08,0.200000,0,1045,1000,3
1588,1,0,0.08,0.200000,0,1046,1000,3
1426,1,1,0.08,0.200000,0,1046,1000,3
1519,1,0,0.08,0.200000,0,1047,1000,3
1437,1,1,0.08,0.200000,0,1047,1000,3
1655,1,0,0.08,0.200000,0,1048,1000,3
1540,1,1,0.08,0.200000,0,1048,1000,3
1817,1,0,0.08,0.200000,0,1049,1000,3
1655,1,1,0.08,0.200000,0,1049,1000,3
1698,1,0,0.08,0.201000,0,1000,1000,3
1531,1,1,0.08,0.201000,0,1000,1000,3
1628,1,0,0.08,0.201000,0,1001,1000,3
1665,1,1,0.08,0.201000,0,1001,1000,3
1585,1,0,0.08,0.201000,0,1002,1000,3
1693,1,1,0.08,0.201000,0,1002,1000,3
1520,1,0,0.08,0.201000,0,1003,1000,3
1648,1,1,0.08,0.201000,0,1003,1000,3
1640,1,0,0.08,0.201000,0,1004,1000,3
1592,1,1,0.08,0.201000,0,1004,1000,3
1687,1,0,0.08,0.201000,0,1005,1000,3
1849,1,1,0.08,0.201000,0,1005,1000,3
1705,1,0,0.08,0.201000,0,1006,1000,3
1637,1,1,0.08,0.201000,0,1006,1000,3
1575,1,0,0.08,0.201000,0,1007,1000,3
1420,1,1,0.08,0.201000,0,1007,1000,3
1846,1,0,0.08,0.201000,0,1008,1000,3
1706,1,1,0.08,0.201000,0,1008,1000,3
1665,1,0,0.08,0.201000,0,1009,1000,3
1396,1,1,0.08,0.201000,0,1009,1000,3
1593,1,0,0.08,0.201000,0,1010,1000,3
1748,1,1,0.08,0.201000,0,1010,1000,3
1526,1,0,0.08,0.201000,0,1011,1000,3
1711,1,1,0.08,0.201000,0,1011,1000,3
1636,1,0,0.08,0.201000,0,1012,1000,3
1468,1,1,0.08,0.201000,0,1012,1000,3
1626,1,0,0.08,0.201000,0,1013,1000,3
1714,1,1,0.08,0.201000,0,1013,1000,3
1723,1,0,0.08,0.201000,0,1014,1000,3
1589,1,1,0.08,0.201000,0,1014,1000,3
1600,1,0,0.08,0.201000,0,1015,1000,3
1651,1,1,0.08,0.201000,0,1015,1000,3
1600,1,0,0.08,0.201000,0,1016,1000,3
1730,1,1,0.08,0.201000,0,1016,1000,3
1637,1,0,0.08,0.201000,0,1017,1000,3
1504,1,1,0.08,0.201000,0,1017,1000,3
1891,1,0,0.08,0.201000,0,1018,1000,3
1346,1,1,0.08,0.201000,0,1018,1000,3
1584,1,0,0.08,0.201000,0,1019,1000,3
1742,1,1,0.08,0.201000,0,1019,1000,3
1676,1,0,0.08,0.201000,0,1020,1000,3
1733,1,1,0.08,0.201000,0,1020,1000,3
1627,1,0,0.08,0.201000,0,1021,1000,3
1550,1,1,0.08,0.201000,0,1021,1000,3
1884,1,0,0.08,0.201000,0,1022,1000,3
1544,1,1,0.08,0.201000,0,1022,1000,3
1552,1,0,0.08,0.201000,0,1023,1000,3
1733,1,1,0.08,0.201000,0,1023,1000,3
1696,1,0,0.08,0.201000,0,1024,1000,3
1746,1,1,0.08,0.201000,0,1024,1000,3
1824,1,0,0.08,0.201000,0,1025,1000,3
