runId,mode,seed,inflowRate,intelligenceCost,sensingNoise,maxAgents,lookDist,burnIn,measureTicks,maxTicks,tailTicks,survivedTicks,event,max_agentCount,sigmaProxyCumEnd,sigmaProxyDiffCumEnd,sigmaProxyActCumEnd,outflowPhysCum,outflowNumCum,outflowActCum,actHeatMaintCum,actHeatInfoCum,actHeatDivCum,totalUptakeCum,infoCostCum,maintenanceCostCum,divisionCostCum,efficiencyEnd,birthsCum,deathsCum,netCum,meanAbsEnergyResidual,measuredTicks,mean_agentCount_window,mean_sigmaProxyTotal_window,mean_uptake_window,mean_infoCost_window,mean_maintenance_window,mean_divisionCost_window,mean_efficiency_window,mean_births_window,mean_deaths_window,mean_net_window,tailTicksUsed,mean_uptake_tail,mean_infoCost_tail,mean_maintenance_tail,mean_divisionCost_tail,mean_efficiency_tail,mean_births_tail,mean_deaths_tail,mean_net_tail
1,random,1000,0.08,0.200000,0,1000,3,100,300,3000,30,1698,1,10,312.208925,7.348925,304.860000,0.000000,0.000000,304.860000,304.860000,0.000000,0.000000,4.784404,0.000000,304.860000,0.000000,0.015694,0.000000,10.000000,-10.000000,0.000044535002,300,10.000000,0.203352,0.000296,0.000000,0.200000,0.000000,0.001478,0.000000,0.000000,0.000000,30,0.001055,0.000000,0.020000,0.000000,0.052761,0.000000,0.033333,-0.033333
2,informed,1000,0.08,0.200000,0,1000,3,100,300,3000,30,1533,1,10,313.287717,1.951549,311.336167,0.000000,0.000000,311.336167,255.320000,56.016167,0.000000,11.234828,56.016167,255.320000,0.000000,0.036086,0.000000,10.000000,-10.000000,0.000066078195,300,10.000000,0.249618,0.003431,0.046140,0.200000,0.000000,0.013816,0.000000,0.000000,0.000000,30,0.008072,0.004022,0.020000,0.000000,0.336027,0.000000,0.033333,-0.033333
3,random,1001,0.08,0.200000,0,1000,3,100,300,3000,30,1628,1,10,312.011415,6.091415,305.920000,0.000000,0.000000,305.920000,305.920000,0.000000,0.000000,5.795178,0.000000,305.920000,0.000000,0.018943,0.000000,10.000000,-10.000000,0.000076659571,300,10.000000,0.202055,0.004616,0.000000,0.200000,0.000000,0.023078,0.000000,0.000000,0.000000,30,0.001506,0.000000,0.033333,0.000000,0.041569,0.000000,0.066667,-0.066667
4,informed,1001,0.08,0.200000,0,1000,3,100,300,3000,30,1667,1,10,313.669772,1.010146,312.659627,0.000000,0.000000,312.659627,258.740000,53.919627,0.000000,12.578225,53.919627,258.740000,0.000000,0.040230,0.000000,10.000000,-10.000000,0.000048809542,300,10.000000,0.244489,0.007222,0.041953,0.200000,0.000000,0.029819,0.000000,0.000000,0.000000,30,0.008577,0.004023,0.020000,0.000000,0.357028,0.000000,0.033333,-0.033333
5,random,1002,0.08,0.200000,0,1000,3,100,300,3000,30,1585,1,10,311.869405,6.509405,305.360000,0.000000,0.000000,305.360000,305.360000,0.000000,0.000000,5.267971,0.000000,305.360000,0.000000,0.017252,0.000000,10.000000,-10.000000,0.000058063304,300,10.000000,0.203294,0.003651,0.000000,0.200000,0.000000,0.018254,0.000000,0.000000,0.000000,30,0.000138,0.000000,0.030000,0.000000,0.004189,0.000000,0.066667,-0.066667
6,informed,1002,0.08,0.200000,0,1000,3,100,300,3000,30,1696,1,10,314.164594,0.913873,313.250721,0.000000,0.000000,313.250721,259.340000,53.910721,0.000000,13.143128,53.910721,259.340000,0.000000,0.041957,0.000000,10.000000,-10.000000,0.000063407397,300,10.000000,0.245032,0.007610,0.042413,0.200000,0.000000,0.031357,0.000000,0.000000,0.000000,30,0.007945,0.004049,0.020000,0.000000,0.330381,0.000000,0.033333,-0.033333
7,random,1003,0.08,0.200000,0,1000,3,100,300,3000,30,1520,1,10,308.187301,6.647301,301.540000,0.000000,0.000000,301.540000,301.540000,0.000000,0.000000,1.444439,0.000000,301.540000,0.000000,0.004790,0.000000,10.000000,-10.000000,0.000062875937,300,10.000000,0.203348,0.000098,0.000000,0.200000,0.000000,0.000491,0.000000,0.000000,0.000000,30,0.001860,0.000000,0.111333,0.000000,0.026455,0.000000,0.333333,-0.333333
8,informed,1003,0.08,0.200000,0,1000,3,100,300,3000,30,1651,1,10,313.409121,1.858949,311.550172,0.000000,0.000000,311.550172,255.820000,55.730172,0.000000,11.434380,55.730172,255.820000,0.000000,0.036702,0.000000,10.000000,-10.000000,0.000070111031,300,10.000000,0.246329,0.000479,0.042972,0.200000,0.000000,0.001941,0.000000,0.000000,0.000000,30,0.008215,0.004064,0.020000,0.000000,0.341370,0.000000,0.033333,-0.033333
9,random,1004,0.08,0.200000,0,1000,3,100,300,3000,30,1640,1,10,310.111000,5.451000,304.660000,0.000000,0.000000,304.660000,304.660000,0.000000,0.000000,4.555469,0.000000,304.660000,0.000000,0.014953,0.000000,10.000000,-10.000000,0.000063734012,300,10.000000,0.201491,0.006698,0.000000,0.200000,0.000000,0.033488,0.000000,0.000000,0.000000,30,0.000679,0.000000,0.020000,0.000000,0.033965,0.000000,0.033333,-0.033333
10,informed,1004,0.08,0.200000,0,1000,3,100,300,3000,30,1594,1,10,313.335764,1.309345,312.026419,0.000000,0.000000,312.026419,257.500000,54.526419,0.000000,11.891555,54.526419,257.500000,0.000000,0.038111,0.000000,10.000000,-10.000000,0.000084563006,300,10.000000,0.246425,0.005614,0.043291,0.200000,0.000000,0.022952,0.000000,0.000000,0.000000,30,0.008226,0.004054,0.020000,0.000000,0.341968,0.000000,0.033333,-0.033333
