sensingNoise,inflowRate,intelligenceCost,nPairs,costScale,costStart_i,costEnd_i,costStep_i,dMean_survivedTicks,sd_dSurv,ciLo_dSurv,ciHi_dSurv,dMean_sigmaProxyCumEnd,sd_dSigmaProxyCum,ciLo_dSigmaProxyCumEnd,ciHi_dSigmaProxyCumEnd,dMean_sigmaProxyDiffCumEnd,sd_dSigmaProxyDiffCum,ciLo_dSigmaProxyDiffCumEnd,ciHi_dSigmaProxyDiffCumEnd,dMean_sigmaProxyActCumEnd,sd_dSigmaProxyActCum,ciLo_dSigmaProxyActCumEnd,ciHi_dSigmaProxyActCumEnd,dMean_outflowNumCum,sd_dOutflowNumCum,ciLo_dOutflowNumCum,ciHi_dOutflowNumCum,dMean_totalUptakeCum,sd_dUptakeCum,ciLo_dUptakeCum,ciHi_dUptakeCum,dMean_efficiencyEnd,sd_dEffEnd,ciLo_dEffEnd,ciHi_dEffEnd,dMean_birthsCum,sd_dBirthsCum,ciLo_dBirthsCum,ciHi_dBirthsCum,dMean_deathsCum,sd_dDeathsCum,ciLo_dDeathsCum,ciHi_dDeathsCum,dMean_netCum,sd_dNetCum,ciLo_dNetCum,ciHi_dNetCum,dMean_births_window,sd_dBirthsW,ciLo_dBirthsW,ciHi_dBirthsW,dMean_deaths_window,sd_dDeathsW,ciLo_dDeathsW,ciHi_dDeathsW,dMean_net_window,sd_dNetW,ciLo_dNetW,ciHi_dNetW,rmst_random_tau,rmst_informed_tau,dRmst,ciLo_dRmst,ciHi_dRmst,hedgesG_survival_ref,logrank_z,logrank_pApprox
0,0.08,0.200000,50,1000,200,201,1,-67.900000,172.535149,-116.600000,-21.000000,0.907746,2.497436,0.191605,1.575070,-4.995656,1.211981,-5.299125,-4.650116,5.903402,3.027631,5.033326,6.687121,0.000000,0.000000,0.000000,0.000000,5.894875,3.027556,5.023042,6.679155,0.018589,0.009590,0.015818,0.021071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1669.540000,1601.640000,-67.900000,-115.020000,-21.680000,-0.567270,1.790928,0.073304763782
0,0.08,0.201000,50,1000,200,201,1,-69.840000,172.152087,-118.420000,-23.080000,0.887710,2.492721,0.174421,1.552319,-4.996069,1.211054,-5.299092,-4.650480,5.883779,3.024640,5.011468,6.667851,0.000000,0.000000,0.000000,0.000000,5.879216,3.025354,5.007737,6.662792,0.018542,0.009583,0.015772,0.021022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1669.540000,1599.700000,-69.840000,-116.860000,-23.620000,-0.584426,1.844338,0.065133755752
0,0.082,0.200000,50,1000,200,201,1,-55.780000,189.307254,-110.120000,-5.080000,0.977210,2.634224,0.207413,1.667277,-5.275979,1.260373,-5.590568,-4.912706,6.253189,3.294251,5.286784,7.114407,0.000000,0.000000,0.000000,0.000000,6.249475,3.292823,5.280158,7.109425,0.019676,0.010394,0.016629,0.022395,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1668.840000,1613.060000,-55.780000,-105.660000,-8.120000,-0.445593,1.466673,0.142464980144
0,0.082,0.201000,50,1000,200,201,1,-57.760000,189.053773,-112.100000,-7.060000,0.959061,2.630534,0.192272,1.650159,-5.276035,1.259820,-5.590338,-4.912787,6.235096,3.290170,5.271239,7.095871,0.000000,0.000000,0.000000,0.000000,6.231887,3.290993,5.262910,7.091530,0.019622,0.010389,0.016575,0.022337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1668.840000,1611.080000,-57.760000,-107.720000,-10.160000,-0.461896,1.510380,0.130946565621
0,0.084,0.200000,50,1000,200,201,1,-52.200000,195.407371,-107.740000,0.640000,0.856362,2.769892,0.059365,1.570062,-5.585859,1.328663,-5.914718,-5.204732,6.442221,3.408685,5.445966,7.324672,0.000000,0.000000,0.000000,0.000000,6.440916,3.409149,5.454120,7.326333,0.020237,0.010745,0.017104,0.023022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1678.640000,1626.440000,-52.200000,-103.140000,-2.440000,-0.399833,1.417895,0.156221560603
0,0.084,0.201000,50,1000,200,201,1,-54.240000,195.112690,-109.720000,-1.460000,0.839998,2.769753,0.044685,1.552406,-5.586033,1.328204,-5.915003,-5.205173,6.426031,3.408404,5.431967,7.312377,0.000000,0.000000,0.000000,0.000000,6.422544,3.407836,5.437261,7.309851,0.020180,0.010741,0.017054,0.022964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1678.640000,1624.400000,-54.240000,-105.200000,-4.600000,-0.416120,1.485502,0.137411023407
0,0.08600000000000001,0.200000,50,1000,200,201,1,-40.920000,199.557658,-97.180000,12.840000,0.816508,2.817105,0.029688,1.554860,-5.902542,1.387677,-6.252027,-5.500611,6.719050,3.479938,5.698264,7.648061,0.000000,0.000000,0.000000,0.000000,6.718375,3.481429,5.693564,7.647487,0.021066,0.010958,0.017882,0.023985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1683.480000,1642.560000,-40.920000,-93.320000,11.000000,-0.302735,1.080802,0.279785037402
0,0.08600000000000001,0.201000,50,1000,200,201,1,-43.160000,199.231212,-99.380000,10.660000,0.798707,2.814502,0.011621,1.537252,-5.902778,1.386804,-6.251916,-5.501173,6.701485,3.478341,5.681174,7.629353,0.000000,0.000000,0.000000,0.000000,6.698200,3.480055,5.675067,7.627350,0.021003,0.010954,0.017819,0.023917,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1683.480000,1640.320000,-43.160000,-95.320000,8.540000,-0.319847,1.158889,0.246501365849
0,0.088,0.200000,50,1000,200,201,1,-26.980000,207.614192,-85.300000,29.500000,0.873285,2.887329,0.041801,1.654302,-6.206748,1.432862,-6.560857,-5.781914,7.080033,3.609089,6.028459,8.068668,0.000000,0.000000,0.000000,0.000000,7.076131,3.617618,6.022585,8.059514,0.022149,0.011365,0.018854,0.025230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1684.180000,1657.200000,-26.980000,-81.160000,27.100000,-0.194044,0.625003,0.531968888208
0,0.088,0.201000,50,1000,200,201,1,-29.100000,207.335305,-87.380000,27.300000,0.855946,2.890646,0.023250,1.636355,-6.206877,1.431858,-6.560950,-5.782132,7.062823,3.612744,6.013982,8.047797,0.000000,0.000000,0.000000,0.000000,7.057176,3.617007,6.005284,8.039125,0.022091,0.011364,0.018796,0.025168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1684.180000,1655.080000,-29.100000,-83.380000,25.020000,-0.209576,0.649092,0.516278660950
