runId,mode,seed,inflowRate,intelligenceCost,sensingNoise,maxAgents,lookDist,burnIn,measureTicks,maxTicks,tailTicks,survivedTicks,event,max_agentCount,sigmaProxyCumEnd,sigmaProxyDiffCumEnd,sigmaProxyActCumEnd,outflowPhysCum,outflowNumCum,outflowActCum,actHeatMaintCum,actHeatInfoCum,actHeatDivCum,totalUptakeCum,infoCostCum,maintenanceCostCum,divisionCostCum,efficiencyEnd,birthsCum,deathsCum,netCum,meanAbsEnergyResidual,measuredTicks,mean_agentCount_window,mean_sigmaProxyTotal_window,mean_uptake_window,mean_infoCost_window,mean_maintenance_window,mean_divisionCost_window,mean_efficiency_window,mean_births_window,mean_deaths_window,mean_net_window,tailTicksUsed,mean_uptake_tail,mean_infoCost_tail,mean_maintenance_tail,mean_divisionCost_tail,mean_efficiency_tail,mean_births_tail,mean_deaths_tail,mean_net_tail
11,random,1005,0.085,0.200000,0,1000,3,100,300,3000,30,1627,1,10,313.426926,7.386926,306.040000,0.000000,0.000000,306.040000,306.040000,0.000000,0.000000,5.934082,0.000000,306.040000,0.000000,0.019390,0.000000,10.000000,-10.000000,0.000065098772,300,10.000000,0.202719,0.002396,0.000000,0.200000,0.000000,0.011982,0.000000,0.000000,0.000000,30,0.000456,0.000000,0.020000,0.000000,0.022786,0.000000,0.033333,-0.033333
12,informed,1005,0.085,0.200000,0,1000,3,100,300,3000,30,1910,1,10,316.224471,0.062317,316.162154,0.000000,0.000000,316.162154,263.040000,53.122154,0.000000,16.066747,53.122154,263.040000,0.000000,0.050818,0.000000,10.000000,-10.000000,0.000049926352,300,10.000000,0.240543,0.008646,0.040538,0.200000,0.000000,0.035945,0.000000,0.000000,0.000000,30,0.008417,0.004011,0.020000,0.000000,0.350528,0.000000,0.033333,-0.033333
13,random,1006,0.085,0.200000,0,1000,3,100,300,3000,30,1734,1,10,315.826931,8.526931,307.300000,0.000000,0.000000,307.300000,307.300000,0.000000,0.000000,7.183323,0.000000,307.300000,0.000000,0.023376,0.000000,10.000000,-10.000000,0.000067295600,300,10.000000,0.203780,0.000146,0.000000,0.200000,0.000000,0.000731,0.000000,0.000000,0.000000,30,0.005994,0.000000,0.020000,0.000000,0.299694,0.000000,0.033333,-0.033333
14,informed,1006,0.085,0.200000,0,1000,3,100,300,3000,30,1686,1,10,315.021712,2.233048,312.788665,0.000000,0.000000,312.788665,256.260000,56.528665,0.000000,12.666985,56.528665,256.260000,0.000000,0.040497,0.000000,10.000000,-10.000000,0.000072145642,300,10.000000,0.246297,0.000942,0.042483,0.200000,0.000000,0.003876,0.000000,0.000000,0.000000,30,0.008900,0.004069,0.020000,0.000000,0.369666,0.000000,0.033333,-0.033333
15,random,1007,0.085,0.200000,0,1000,3,100,300,3000,30,1579,1,10,310.474131,7.934131,302.540000,0.000000,0.000000,302.540000,302.540000,0.000000,0.000000,2.425754,0.000000,302.540000,0.000000,0.008018,0.000000,10.000000,-10.000000,0.000072357930,300,10.000000,0.203780,0.000089,0.000000,0.200000,0.000000,0.000443,0.000000,0.000000,0.000000,30,0.000238,0.000000,0.020000,0.000000,0.011896,0.000000,0.033333,-0.033333
16,informed,1007,0.085,0.200000,0,1000,3,100,300,3000,30,1455,1,10,313.297392,2.716686,310.580706,0.000000,0.000000,310.580706,254.160000,56.420706,0.000000,10.450608,56.420706,254.160000,0.000000,0.033649,0.000000,10.000000,-10.000000,0.000089378929,300,10.000000,0.245898,0.000072,0.042118,0.200000,0.000000,0.000296,0.000000,0.000000,0.000000,30,0.008709,0.004113,0.020000,0.000000,0.361167,0.000000,0.033333,-0.033333
17,random,1008,0.085,0.200000,0,1000,3,100,300,3000,30,1854,1,10,317.139264,4.799264,312.340000,0.000000,0.000000,312.340000,312.340000,0.000000,0.000000,12.231091,0.000000,312.340000,0.000000,0.039160,0.000000,10.000000,-10.000000,0.000058733577,300,10.000000,0.202180,0.007615,0.000000,0.200000,0.000000,0.038074,0.000000,0.000000,0.000000,30,0.002608,0.000000,0.020000,0.000000,0.130419,0.000000,0.033333,-0.033333
18,informed,1008,0.085,0.200000,0,1000,3,100,300,3000,30,1757,1,10,316.160723,1.620659,314.540065,0.000000,0.000000,314.540065,259.520000,55.020065,0.000000,14.439041,55.020065,259.520000,0.000000,0.045905,0.000000,10.000000,-10.000000,0.000057474582,300,10.000000,0.248263,0.005203,0.044208,0.200000,0.000000,0.021023,0.000000,0.000000,0.000000,30,0.008441,0.004050,0.020000,0.000000,0.350990,0.000000,0.033333,-0.033333
19,random,1009,0.085,0.200000,0,1000,3,100,300,3000,30,1677,1,10,315.106636,8.046636,307.060000,0.000000,0.000000,307.060000,307.060000,0.000000,0.000000,6.977706,0.000000,307.060000,0.000000,0.022724,0.000000,10.000000,-10.000000,0.000049085076,300,10.000000,0.203886,0.002243,0.000000,0.200000,0.000000,0.011214,0.000000,0.000000,0.000000,30,0.001718,0.000000,0.020000,0.000000,0.085894,0.000000,0.033333,-0.033333
20,informed,1009,0.085,0.200000,0,1000,3,100,300,3000,30,1408,1,10,313.329629,2.554691,310.774938,0.000000,0.000000,310.774938,255.280000,55.494938,0.000000,10.662530,55.494938,255.280000,0.000000,0.034309,0.000000,10.000000,-10.000000,0.000079795427,300,10.000000,0.247654,0.003787,0.043630,0.200000,0.000000,0.015519,0.000000,0.000000,0.000000,30,0.001345,0.004060,0.020000,0.000000,0.055883,0.000000,0.033333,-0.033333
21,random,1010,0.085,0.200000,0,1000,3,100,300,3000,30,1585,1,10,311.798177,7.978177,303.820000,0.000000,0.000000,303.820000,303.820000,0.000000,0.000000,3.684310,0.000000,303.820000,0.000000,0.012127,0.000000,10.000000,-10.000000,0.000085600005,300,10.000000,0.203786,0.001024,0.000000,0.200000,0.000000,0.005120,0.000000,0.000000,0.000000,30,0.002242,0.000000,0.020000,0.000000,0.112104,0.000000,0.033333,-0.033333
22,informed,1010,0.085,0.200000,0,1000,3,100,300,3000,30,1802,1,10,315.871944,1.164933,314.707011,0.000000,0.000000,314.707011,259.960000,54.747011,0.000000,14.603387,54.747011,259.960000,0.000000,0.046403,0.000000,10.000000,-10.000000,0.000057479823,300,10.000000,0.246004,0.007211,0.042952,0.200000,0.000000,0.029642,0.000000,0.000000,0.000000,30,0.008560,0.004043,0.020000,0.000000,0.356004,0.000000,0.033333,-0.033333
23,random,1011,0.085,0.200000,0,1000,3,100,300,3000,30,1527,1,10,310.024763,7.564763,302.460000,0.000000,0.000000,302.460000,302.460000,0.000000,0.000000,2.374144,0.000000,302.460000,0.000000,0.007849,0.000000,10.000000,-10.000000,0.000056232381,300,10.000000,0.203783,0.000276,0.000000,0.200000,0.000000,0.001379,0.000000,0.000000,0.000000,30,0.001383,0.000000,0.095333,0.000000,0.013586,0.000000,0.333333,-0.333333
24,informed,1011,0.085,0.200000,0,1000,3,100,300,3000,30,1763,1,10,315.930303,1.631466,314.298838,0.000000,0.000000,314.298838,259.440000,54.858838,0.000000,14.193565,54.858838,259.440000,0.000000,0.045159,0.000000,10.000000,-10.000000,0.000059688737,300,10.000000,0.247340,0.004054,0.043347,0.200000,0.000000,0.016622,0.000000,0.000000,0.000000,30,0.008467,0.004052,0.020000,0.000000,0.352022,0.000000,0.033333,-0.033333
