time,event,group,inflowRate,intelligenceCost,sensingNoise,seed,maxAgents,lookDist
1710,1,0,0.085,0.200000,0,1000,1000,3
1577,1,1,0.085,0.200000,0,1000,1000,3
1636,1,0,0.085,0.200000,0,1001,1000,3
1716,1,1,0.085,0.200000,0,1001,1000,3
1591,1,0,0.085,0.200000,0,1002,1000,3
1744,1,1,0.085,0.200000,0,1002,1000,3
1521,1,0,0.085,0.200000,0,1003,1000,3
1703,1,1,0.085,0.200000,0,1003,1000,3
1648,1,0,0.085,0.200000,0,1004,1000,3
1636,1,1,0.085,0.200000,0,1004,1000,3
1627,1,0,0.085,0.200000,0,1005,1000,3
1910,1,1,0.085,0.200000,0,1005,1000,3
1734,1,0,0.085,0.200000,0,1006,1000,3
1686,1,1,0.085,0.200000,0,1006,1000,3
1579,1,0,0.085,0.200000,0,1007,1000,3
1455,1,1,0.085,0.200000,0,1007,1000,3
1854,1,0,0.085,0.200000,0,1008,1000,3
1757,1,1,0.085,0.200000,0,1008,1000,3
1677,1,0,0.085,0.200000,0,1009,1000,3
1408,1,1,0.085,0.200000,0,1009,1000,3
1585,1,0,0.085,0.200000,0,1010,1000,3
1802,1,1,0.085,0.200000,0,1010,1000,3
1527,1,0,0.085,0.200000,0,1011,1000,3
1763,1,1,0.085,0.200000,0,1011,1000,3
1643,1,0,0.085,0.200000,0,1012,1000,3
1502,1,1,0.085,0.200000,0,1012,1000,3
1628,1,0,0.085,0.200000,0,1013,1000,3
1767,1,1,0.085,0.200000,0,1013,1000,3
1740,1,0,0.085,0.200000,0,1014,1000,3
1647,1,1,0.085,0.200000,0,1014,1000,3
1611,1,0,0.085,0.200000,0,1015,1000,3
1722,1,1,0.085,0.200000,0,1015,1000,3
1607,1,0,0.085,0.200000,0,1016,1000,3
1785,1,1,0.085,0.200000,0,1016,1000,3
1644,1,0,0.085,0.200000,0,1017,1000,3
1551,1,1,0.085,0.200000,0,1017,1000,3
1978,1,0,0.085,0.200000,0,1018,1000,3
1357,1,1,0.085,0.200000,0,1018,1000,3
1590,1,0,0.085,0.200000,0,1019,1000,3
1797,1,1,0.085,0.200000,0,1019,1000,3
1682,1,0,0.085,0.200000,0,1020,1000,3
1788,1,1,0.085,0.200000,0,1020,1000,3
1636,1,0,0.085,0.200000,0,1021,1000,3
1529,1,1,0.085,0.200000,0,1021,1000,3
1774,1,0,0.085,0.200000,0,1022,1000,3
1585,1,1,0.085,0.200000,0,1022,1000,3
1552,1,0,0.085,0.200000,0,1023,1000,3
1788,1,1,0.085,0.200000,0,1023,1000,3
1710,1,0,0.085,0.200000,0,1024,1000,3
1803,1,1,0.085,0.200000,0,1024,1000,3
1812,1,0,0.085,0.200000,0,1025,1000,3
1484,1,1,0.085,0.200000,0,1025,1000,3
1848,1,0,0.085,0.200000,0,1026,1000,3
1541,1,1,0.085,0.200000,0,1026,1000,3
1951,1,0,0.085,0.200000,0,1027,1000,3
1504,1,1,0.085,0.200000,0,1027,1000,3
1564,1,0,0.085,0.200000,0,1028,1000,3
1465,1,1,0.085,0.200000,0,1028,1000,3
1592,1,0,0.085,0.200000,0,1029,1000,3
1562,1,1,0.085,0.200000,0,1029,1000,3
1610,1,0,0.085,0.200000,0,1030,1000,3
1471,1,1,0.085,0.200000,0,1030,1000,3
1718,1,0,0.085,0.200000,0,1031,1000,3
1923,1,1,0.085,0.200000,0,1031,1000,3
1608,1,0,0.085,0.200000,0,1032,1000,3
1455,1,1,0.085,0.200000,0,1032,1000,3
1682,1,0,0.085,0.200000,0,1033,1000,3
1598,1,1,0.085,0.200000,0,1033,1000,3
1817,1,0,0.085,0.200000,0,1034,1000,3
1470,1,1,0.085,0.200000,0,1034,1000,3
1831,1,0,0.085,0.200000,0,1035,1000,3
1477,1,1,0.085,0.200000,0,1035,1000,3
1683,1,0,0.085,0.200000,0,1036,1000,3
1791,1,1,0.085,0.200000,0,1036,1000,3
1645,1,0,0.085,0.200000,0,1037,1000,3
1791,1,1,0.085,0.200000,0,1037,1000,3
1678,1,0,0.085,0.200000,0,1038,1000,3
1536,1,1,0.085,0.200000,0,1038,1000,3
1660,1,0,0.085,0.200000,0,1039,1000,3
1917,1,1,0.085,0.200000,0,1039,1000,3
1622,1,0,0.085,0.200000,0,1040,1000,3
1754,1,1,0.085,0.200000,0,1040,1000,3
1551,1,0,0.085,0.200000,0,1041,1000,3
1565,1,1,0.085,0.200000,0,1041,1000,3
1950,1,0,0.085,0.200000,0,1042,1000,3
1775,1,1,0.085,0.200000,0,1042,1000,3
1588,1,0,0.085,0.200000,0,1043,1000,3
1563,1,1,0.085,0.200000,0,1043,1000,3
1809,1,0,0.085,0.200000,0,1044,1000,3
1635,1,1,0.085,0.200000,0,1044,1000,3
1609,1,0,0.085,0.200000,0,1045,1000,3
1491,1,1,0.085,0.200000,0,1045,1000,3
1591,1,0,0.085,0.200000,0,1046,1000,3
1465,1,1,0.085,0.200000,0,1046,1000,3
1520,1,0,0.085,0.200000,0,1047,1000,3
1445,1,1,0.085,0.200000,0,1047,1000,3
1661,1,0,0.085,0.200000,0,1048,1000,3
1574,1,1,0.085,0.200000,0,1048,1000,3
1837,1,0,0.085,0.200000,0,1049,1000,3
1662,1,1,0.085,0.200000,0,1049,1000,3
1710,1,0,0.085,0.201000,0,1000,1000,3
1575,1,1,0.085,0.201000,0,1000,1000,3
1636,1,0,0.085,0.201000,0,1001,1000,3
1714,1,1,0.085,0.201000,0,1001,1000,3
1591,1,0,0.085,0.201000,0,1002,1000,3
1741,1,1,0.085,0.201000,0,1002,1000,3
1521,1,0,0.085,0.201000,0,1003,1000,3
1700,1,1,0.085,0.201000,0,1003,1000,3
1648,1,0,0.085,0.201000,0,1004,1000,3
1634,1,1,0.085,0.201000,0,1004,1000,3
1627,1,0,0.085,0.201000,0,1005,1000,3
1907,1,1,0.085,0.201000,0,1005,1000,3
1734,1,0,0.085,0.201000,0,1006,1000,3
1682,1,1,0.085,0.201000,0,1006,1000,3
1579,1,0,0.085,0.201000,0,1007,1000,3
1453,1,1,0.085,0.201000,0,1007,1000,3
1854,1,0,0.085,0.201000,0,1008,1000,3
1754,1,1,0.085,0.201000,0,1008,1000,3
1677,1,0,0.085,0.201000,0,1009,1000,3
1407,1,1,0.085,0.201000,0,1009,1000,3
1585,1,0,0.085,0.201000,0,1010,1000,3
1799,1,1,0.085,0.201000,0,1010,1000,3
1527,1,0,0.085,0.201000,0,1011,1000,3
1761,1,1,0.085,0.201000,0,1011,1000,3
1643,1,0,0.085,0.201000,0,1012,1000,3
1500,1,1,0.085,0.201000,0,1012,1000,3
1628,1,0,0.085,0.201000,0,1013,1000,3
1765,1,1,0.085,0.201000,0,1013,1000,3
1740,1,0,0.085,0.201000,0,1014,1000,3
1644,1,1,0.085,0.201000,0,1014,1000,3
1611,1,0,0.085,0.201000,0,1015,1000,3
1719,1,1,0.085,0.201000,0,1015,1000,3
1607,1,0,0.085,0.201000,0,1016,1000,3
1783,1,1,0.085,0.201000,0,1016,1000,3
1644,1,0,0.085,0.201000,0,1017,1000,3
1549,1,1,0.085,0.201000,0,1017,1000,3
1978,1,0,0.085,0.201000,0,1018,1000,3
1356,1,1,0.085,0.201000,0,1018,1000,3
1590,1,0,0.085,0.201000,0,1019,1000,3
1794,1,1,0.085,0.201000,0,1019,1000,3
1682,1,0,0.085,0.201000,0,1020,1000,3
1786,1,1,0.085,0.201000,0,1020,1000,3
1636,1,0,0.085,0.201000,0,1021,1000,3
1528,1,1,0.085,0.201000,0,1021,1000,3
1774,1,0,0.085,0.201000,0,1022,1000,3
1582,1,1,0.085,0.201000,0,1022,1000,3
1552,1,0,0.085,0.201000,0,1023,1000,3
1785,1,1,0.085,0.201000,0,1023,1000,3
1710,1,0,0.085,0.201000,0,1024,1000,3
1800,1,1,0.085,0.201000,0,1024,1000,3
1812,1,0,0.085,0.201000,0,1025,1000,3
1481,1,1,0.085,0.201000,0,1025,1000,3
1848,1,0,0.085,0.201000,0,1026,1000,3
1538,1,1,0.085,0.201000,0,1026,1000,3
1951,1,0,0.085,0.201000,0,1027,1000,3
1502,1,1,0.085,0.201000,0,1027,1000,3
1564,1,0,0.085,0.201000,0,1028,1000,3
